City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
89,Bethel,41.3712,-73.414,53.02,61,100,16.11,US,2022-05-07 20:03:55,moderate rain
90,Kavieng,-2.5744,150.7967,82.72,75,58,17.76,PG,2022-05-07 20:07:31,broken clouds
91,Sao Filipe,14.8961,-24.4956,73.71,79,44,16.89,CV,2022-05-07 20:07:32,scattered clouds
92,Kehychivka,49.2866,35.7615,47.59,59,88,7.0,UA,2022-05-07 20:07:33,overcast clouds
93,Tasiilaq,65.6145,-37.6368,32.16,70,97,5.95,GL,2022-05-07 20:07:35,overcast clouds
94,Desaguadero,-16.5656,-69.0417,55.13,36,4,13.49,PE,2022-05-07 20:07:35,clear sky
95,Fairbanks,64.8378,-147.7164,48.6,84,0,1.01,US,2022-05-07 20:07:36,clear sky
96,Butaritari,3.0707,172.7902,81.5,79,100,15.73,KI,2022-05-07 20:07:37,light rain
97,Arraial Do Cabo,-22.9661,-42.0278,73.26,83,40,6.91,BR,2022-05-07 20:07:38,scattered clouds
98,Padang,-0.9492,100.3543,77.4,84,100,3.4,ID,2022-05-07 20:07:38,light rain
99,Aklavik,68.2191,-135.0107,33.87,83,68,9.42,CA,2022-05-07 20:07:39,broken clouds
100,Lerwick,60.1545,-1.1494,46.4,67,79,7.61,GB,2022-05-07 20:07:40,broken clouds
101,Luderitz,-26.6481,15.1594,57.18,72,0,21.63,NA,2022-05-07 20:07:40,clear sky
102,Saravan,39.7196,45.6483,42.35,92,100,3.27,AM,2022-05-07 20:07:41,overcast clouds
103,Grafton,42.207,-71.6856,52.5,40,0,12.66,US,2022-05-07 20:07:42,clear sky
104,Maridi,4.9158,29.4742,70.14,86,97,1.57,SS,2022-05-07 20:07:42,overcast clouds
105,New Norfolk,-42.7826,147.0587,51.3,71,91,3.11,AU,2022-05-07 20:07:43,overcast clouds
106,Rio Grande,-32.035,-52.0986,69.91,67,0,6.26,BR,2022-05-07 20:07:45,clear sky
107,Faya,18.3851,42.4509,64.92,39,85,5.55,SA,2022-05-07 20:07:45,overcast clouds
108,Axim,4.8699,-2.2405,81.14,81,87,6.2,GH,2022-05-07 20:07:46,overcast clouds
109,Vila Velha,-20.3297,-40.2925,76.95,73,20,12.66,BR,2022-05-07 20:07:47,few clouds
110,Beringovskiy,63.05,179.3167,32.67,86,99,7.36,RU,2022-05-07 20:07:47,overcast clouds
111,Roma,43.2128,-75.4557,62.74,23,0,10.36,US,2022-05-07 20:06:54,clear sky
112,Chuy,-33.6971,-53.4616,66.29,69,51,3.69,UY,2022-05-07 20:07:48,broken clouds
113,Lulea,65.5842,22.1547,41.07,48,100,10.36,SE,2022-05-07 20:07:49,overcast clouds
114,Cabo San Lucas,22.8909,-109.9124,88.61,56,0,9.44,MX,2022-05-07 20:03:19,clear sky
115,East London,-33.0153,27.9116,64.67,87,100,18.19,ZA,2022-05-07 20:07:50,moderate rain
116,Skibbereen,51.55,-9.2667,55.11,89,100,4.29,IE,2022-05-07 20:07:52,overcast clouds
117,Puerto Ayora,-0.7393,-90.3518,78.76,79,40,9.91,EC,2022-05-07 20:07:53,scattered clouds
118,Maniitsoq,65.4167,-52.9,32.88,73,8,11.21,GL,2022-05-07 20:07:55,clear sky
119,Nikolskoye,59.7035,30.7861,52.72,87,100,3.04,RU,2022-05-07 20:07:55,overcast clouds
120,Bredasdorp,-34.5322,20.0403,54.93,89,40,1.74,ZA,2022-05-07 20:07:56,scattered clouds
121,Paamiut,61.994,-49.6678,34.18,87,57,13.67,GL,2022-05-07 20:07:57,broken clouds
122,Varzea Da Palma,-17.5981,-44.7308,84.11,43,26,5.39,BR,2022-05-07 20:07:58,scattered clouds
123,Khovu-Aksy,51.1333,93.6,48.67,55,56,4.05,RU,2022-05-07 20:07:59,broken clouds
124,Tura,25.5198,90.2201,72.73,78,0,3.13,IN,2022-05-07 20:08:00,clear sky
125,Airai,-8.9266,125.4092,60.26,96,53,4.72,TL,2022-05-07 20:08:01,broken clouds
126,Upernavik,72.7868,-56.1549,18.27,78,9,6.96,GL,2022-05-07 20:08:02,clear sky
127,Xunchang,28.4543,104.715,73.53,69,96,2.64,CN,2022-05-07 20:08:03,overcast clouds
128,Terrace,54.5163,-128.6035,51.42,55,86,2.91,CA,2022-05-07 20:08:04,overcast clouds
129,Pundaguitan,6.3711,126.1689,81.09,82,100,14.5,PH,2022-05-07 20:08:04,overcast clouds
130,Vanimo,-2.6741,141.3028,78.24,90,96,5.79,PG,2022-05-07 20:08:06,overcast clouds
131,Grand Haven,43.0631,-86.2284,67.03,32,0,10.71,US,2022-05-07 20:04:31,clear sky
132,Hovd,48.0056,91.6419,59.67,31,98,8.68,MN,2022-05-07 20:08:07,overcast clouds
133,Cidreira,-30.1811,-50.2056,65.25,69,0,6.02,BR,2022-05-07 20:08:08,clear sky
134,Belaya Glina,46.07,40.86,45.93,57,91,6.17,RU,2022-05-07 20:08:08,overcast clouds
135,Banjar,-8.19,114.9675,78.28,91,76,3.36,ID,2022-05-07 20:08:10,broken clouds
136,Kaitangata,-46.2817,169.8464,54.19,92,100,1.1,NZ,2022-05-07 20:08:10,light rain
137,Kapaa,22.0752,-159.319,80.58,83,100,19.57,US,2022-05-07 20:08:11,overcast clouds
138,Muyezerskiy,63.9333,31.65,36.93,93,100,7.23,RU,2022-05-07 20:08:12,light rain
139,Aracati,-4.5617,-37.7697,76.6,90,95,6.76,BR,2022-05-07 20:08:12,overcast clouds
140,Sao Joao Da Barra,-21.6403,-41.0511,77.09,75,1,15.82,BR,2022-05-07 20:05:05,clear sky
141,Gamba,-2.65,10.0,77.13,85,31,0.85,GA,2022-05-07 20:08:14,scattered clouds
142,Ribeira Grande,38.5167,-28.7,64.8,63,20,6.91,PT,2022-05-07 20:08:15,few clouds
143,Kruisfontein,-34.0033,24.7314,56.88,81,100,6.26,ZA,2022-05-07 20:08:15,overcast clouds
144,Aljezur,37.3191,-8.8033,60.19,81,20,5.99,PT,2022-05-07 20:08:16,few clouds
145,Souillac,-20.5167,57.5167,75.22,83,21,13.29,MU,2022-05-07 20:08:17,few clouds
